Đường,Phường,Quận/Huyện,Thành phố,duration_days,price,acreage,package,category,public_date,expired_date,ad_type,target_renter
Phạm Văn Chiêu,Phường 14,Quận Gò Vấp,Hồ Chí Minh,5,9, 60m,Tin miễn phí,Cho thuê căn hộ Quận Gò Vấp,30/10/2024 14:10,04/11/2024 14:10,Cho thuê căn hộ,Tất cả
Nguyễn Sỹ Sách,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,10.5, 96m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,30/10/2024 15:06,04/11/2024 15:06,Cho thuê căn hộ,Tất cả
71 Đường Nguyễn Bậc,Phường 3,Quận Tân Bình,Hồ Chí Minh,2,1.5, 35m,Tin thường,Phòng trọ Quận Tân Bình,30/10/2024 14:58,02/11/2024 11:44,Phòng trọ,Tất cả
19 Đường Tân Thuận Tây,Phường Bình Thuận,Quận 7,Hồ Chí Minh,4,4.5, 30m,Tin miễn phí,Cho thuê căn hộ mini Quận 7,30/10/2024 14:55,04/11/2024 11:45,Cho thuê căn hộ mini,Tất cả
Đường Lê Thị Riêng,Phường Thới An,Quận 12,Hồ Chí Minh,-117,1.9, 25m,Tin thường,Phòng trọ Quận 12,30/10/2024 10:39,06/07/2024 09:20,Phòng trọ,Tất cả
246/46C/30 Đường Hòa Hưng,Phường 13,Quận 10,Hồ Chí Minh,5,2.9, 20m,Tin thường,Phòng trọ Quận 10,30/10/2024 10:37,04/11/2024 10:37,Phòng trọ,Tất cả
39 Nguyễn Tất Thành,Phường 13,Quận 4,Hồ Chí Minh,5,1.3, 60m,Tin thường,Phòng trọ Quận 4,30/10/2024 14:54,04/11/2024 14:54,Phòng trọ,Tất cả
Phố số 59,Phường 14,Quận Gò Vấp,Hồ Chí Minh,23,3.2, 20m,Tin thường,Phòng trọ Quận Gò Vấp,30/10/2024 22:26,23/11/2024 13:06,Phòng trọ,Tất cả
212B/35 Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,,3.9, 15m,Tin thường,Phòng trọ Quận 1,30/10/2024 10:21,,Phòng trọ,Tất cả
49 Đường Mai Lão Bạng,Phường 13,Quận Tân Bình,Hồ Chí Minh,23,3.6, 25m,Tin thường,Phòng trọ Quận Tân Bình,30/10/2024 22:27,23/11/2024 13:05,Phòng trọ,Tất cả
128/29 Hùng Vương,Phường 2,Quận 10,Hồ Chí Minh,,4, 20m,Tin thường,Phòng trọ Quận 10,30/10/2024 10:21,,Phòng trọ,Tất cả
Đường Tân Mỹ,Phường Tân Thuận Tây,Quận 7,Hồ Chí Minh,23,3.3, 16m,Tin thường,Phòng trọ Quận 7,30/10/2024 22:26,23/11/2024 13:10,Phòng trọ,Tất cả
61/70/12 59,Phường 14,Quận Gò Vấp,Hồ Chí Minh,23,3.7, 25m,Tin thường,Phòng trọ Quận Gò Vấp,30/10/2024 22:27,23/11/2024 13:05,Phòng trọ,Tất cả
Đường Hàn Hải Nguyên,Phường 8,Quận 11,Hồ Chí Minh,5,3.5, 18m,Tin miễn phí,Phòng trọ Quận 11,30/10/2024 14:47,04/11/2024 14:47,Phòng trọ,Tất cả
92/21/16 Đường Xô Viết Nghệ Tĩnh,Phường 21,Quận Bình Thạnh,Hồ Chí Minh,2,2.7, 22m,Tin thường,Phòng trọ Quận Bình Thạnh,30/10/2024 10:25,02/11/2024 09:30,Phòng trọ,Tất cả
Đường Nguyễn Sỹ Sách,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,10, 90m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,30/10/2024 10:23,04/11/2024 10:23,Cho thuê căn hộ,Tất cả
20A Đường Thăng Long,Phường 4,Quận Tân Bình,Hồ Chí Minh,2,3.1, 22m,Tin thường,Phòng trọ Quận Tân Bình,30/10/2024 10:22,02/11/2024 09:28,Phòng trọ,Tất cả
33/14 Đường Nguyễn Công Hoan,Phường 7,Quận Phú Nhuận,Hồ Chí Minh,5,3.2, 20m,Tin thường,Phòng trọ Quận Phú Nhuận,30/10/2024 10:32,04/11/2024 10:32,Phòng trọ,Tất cả
Đường Bạch Đằng,Phường 2,Quận Bình Thạnh,Hồ Chí Minh,2,2.5, 22m,Tin thường,Phòng trọ Quận Bình Thạnh,30/10/2024 10:22,02/11/2024 09:30,Phòng trọ,Tất cả
105A/17 Đường Hồ Thị Kỷ,Phường 1,Quận 10,Hồ Chí Minh,,4, 20m,Tin thường,Phòng trọ Quận 10,30/10/2024 10:21,,Phòng trọ,Tất cả
29/9 Đoàn Thị Điểm,Phường 1,Quận Phú Nhuận,Hồ Chí Minh,5,3, 25m,Tin thường,Phòng trọ Quận Phú Nhuận,30/10/2024 10:24,04/11/2024 10:24,Phòng trọ,Tất cả
33/14 Đường Nguyễn Công Hoan,Phường 7,Quận Phú Nhuận,Hồ Chí Minh,5,3.2, 20m,Tin thường,Phòng trọ Quận Phú Nhuận,30/10/2024 10:33,04/11/2024 10:33,Phòng trọ,Tất cả
Đường Thành Thái,Phường 14,Quận 10,Hồ Chí Minh,3,6, 35m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 10,30/10/2024 21:05,02/11/2024 22:21,Cho thuê căn hộ dịch vụ,Tất cả
24 Võ Văn Hát,Phường Long Trường,Quận 9,Hồ Chí Minh,5,3.6, 30m,Tin thường,Phòng trọ Quận 9,30/10/2024 21:16,04/11/2024 21:16,Phòng trọ,Tất cả
11/8 Đường Nguyễn Văn Hưởng,Phường Thảo Điền,Quận 2,Hồ Chí Minh,4,4.9, 40m,Tin thường,Phòng trọ Quận 2,30/10/2024 21:43,04/11/2024 12:20,Phòng trọ,Tất cả
215 Đường Nguyễn Văn Hưởng,Phường Thảo Điền,Quận 2,Hồ Chí Minh,4,1.9, 40m,Tin thường,Phòng trọ Quận 2,30/10/2024 21:43,04/11/2024 12:22,Phòng trọ,Nữ
21 Nguyễn Văn Hưởng,Phường Thảo Điền,Quận 2,Hồ Chí Minh,4,1.9, 40m,Tin thường,Tìm người ở ghép Quận 2,30/10/2024 21:43,04/11/2024 12:23,Tìm người ở ghép,Nữ
215 Đường Nguyễn Văn Hưởng,Phường Thảo Điền,Quận 2,Hồ Chí Minh,7,25, 500m,Tin thường,Cho thuê nhà Quận 2,30/10/2024 21:44,06/11/2024 21:44,Nhà thuê nguyên căn,Tất cả
Hẻm 520 Quốc Lộ 13,Phường Hiệp Bình Phước,Thủ Đức,Hồ Chí Minh,4,3.2, 20m,Tin thường,Phòng trọ Thủ Đức,30/10/2024 21:53,04/11/2024 16:38,Phòng trọ,Tất cả
Hoàng Sa,Phường Đa Kao,Quận 1,Hồ Chí Minh,5,13, 50m,Tin thường,Cho thuê căn hộ mini Quận 1,30/10/2024 22:06,04/11/2024 22:06,Cho thuê căn hộ mini,Tất cả
273/29/15 Nguyễn Văn Đậu,Phường 11,Quận Bình Thạnh,Hồ Chí Minh,2,5, 20m,Tin thường,Phòng trọ Quận Bình Thạnh,31/10/2024 13:23,02/11/2024 16:21,Phòng trọ,Tất cả
Lê Lợi,Phường Hòa Phú,Thành phố Thủ Dầu Một,Bình Dương,5,10, 130m,Tin miễn phí,Cho thuê mặt bằng Thành phố Thủ Dầu Một,31/10/2024 15:07,05/11/2024 15:07,Cho thuê mặt bằng,Tất cả
Đường Gò Dầu,Phường Tân Sơn Nhì,Quận Tân Phú,Hồ Chí Minh,,6, 40m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Phú,31/10/2024 13:27,,Cho thuê căn hộ dịch vụ,Tất cả
Chu Văn An,Phường 26,Quận Bình Thạnh,Hồ Chí Minh,1,4.8, 20m,Tin thường,Phòng trọ Quận Bình Thạnh,31/10/2024 13:23,01/11/2024 17:09,Phòng trọ,Tất cả
12 Đường Đặng Văn Sâm,Phường 2,Quận Tân Bình,Hồ Chí Minh,5,15, 50m,Tin thường,Cho thuê mặt bằng Quận Tân Bình,31/10/2024 15:04,05/11/2024 15:04,Cho thuê mặt bằng,Tất cả
Đường Nguyễn Thị Định,Phường Bình Trưng Tây,Quận 2,Hồ Chí Minh,1,4.2, 25m,Tin miễn phí,Phòng trọ Quận 2,31/10/2024 13:46,01/11/2024 15:11,Phòng trọ,Tất cả
413/56/8/25 Đường Lê Văn Quới,Phường Bình Trị Đông A,Quận Bình Tân,Hồ Chí Minh,5,2.4, 21m,Tin thường,Phòng trọ Quận Bình Tân,31/10/2024 13:31,05/11/2024 13:31,Phòng trọ,Tất cả
Đường số 27,Phường Tân Quy,Quận 7,Hồ Chí Minh,5,5, 25m,Tin thường,Phòng trọ Quận 7,31/10/2024 13:43,05/11/2024 13:43,Phòng trọ,Tất cả
413/56/8/25 Đường Lê Văn Quới,Phường Bình Trị Đông A,Quận Bình Tân,Hồ Chí Minh,5,2.4, 21m,Tin thường,Phòng trọ Quận Bình Tân,31/10/2024 13:35,05/11/2024 13:35,Phòng trọ,Tất cả
Huỳnh Khương An,Phường 5,Quận Gò Vấp,Hồ Chí Minh,5,3.2, 20m,Tin thường,Phòng trọ Quận Gò Vấp,31/10/2024 10:25,05/11/2024 10:25,Phòng trọ,Tất cả
Hoàng Văn Thụ,Phường 8,Quận Phú Nhuận,Hồ Chí Minh,5,21, 130m,Tin miễn phí,Cho thuê căn hộ Quận Phú Nhuận,31/10/2024 10:27,05/11/2024 10:27,Cho thuê căn hộ,Tất cả
527/19 Đường Dương Bá Trạc,Phường 1,Quận 8,Hồ Chí Minh,5,3.4, 25m,Tin thường,Phòng trọ Quận 8,31/10/2024 13:41,05/11/2024 13:41,Phòng trọ,Tất cả
Đường Nguyễn Thị Thập,Phường Tân Quy,Quận 7,Hồ Chí Minh,0,6, 35m,Tin miễn phí,Cho thuê căn hộ Quận 7,31/10/2024 10:28,01/11/2024 03:34,Cho thuê căn hộ,Tất cả
Đường D1,Phường Tân Hưng,Quận 7,Hồ Chí Minh,0,6, 35m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7,31/10/2024 10:28,01/11/2024 03:42,Cho thuê căn hộ dịch vụ,Tất cả
129 Đường số 79,Phường Tân Quy,Quận 7,Hồ Chí Minh,1,6, 35m,Tin miễn phí,Phòng trọ Quận 7,31/10/2024 10:28,01/11/2024 11:12,Phòng trọ,Tất cả
Đường Huỳnh Tấn Phát,Phường Tân Thuận Tây,Quận 7,Hồ Chí Minh,1,6, 40m,Tin miễn phí,Phòng trọ Quận 7,31/10/2024 10:28,01/11/2024 10:42,Phòng trọ,Tất cả
Lê Đại Hành,Phường 11,Quận 11,Hồ Chí Minh,7,1.8, 35m,Tin thường,Phòng trọ Quận 11,31/10/2024 10:37,07/11/2024 10:37,Phòng trọ,Tất cả
Đường Tỉnh Lộ 10,Phường Bình Trị Đông B,Quận Bình Tân,Hồ Chí Minh,5,4.5, 30m,Tin miễn phí,Phòng trọ Quận Bình Tân,31/10/2024 10:39,05/11/2024 10:39,Phòng trọ,Tất cả
987 Tam Chinh Đường Tam Trinh,Phường Yên Sở,Quận Hoàng Mai,Hà Nội,5,9, 70m,Tin miễn phí,Cho thuê căn hộ Quận Hoàng Mai,31/10/2024 17:15,05/11/2024 17:15,Cho thuê căn hộ,Tất cả
Số 5 ngõ 99 Nguyễn Sơn,Phường Gia Thụy,Quận Long Biên,Hà Nội,5,10, 60m,Tin miễn phí,Cho thuê nhà Quận Long Biên,31/10/2024 23:39,05/11/2024 23:39,Nhà thuê nguyên căn,Tất cả
457/43 Đường Lê Văn Thọ,Phường 9,Quận Gò Vấp,Hồ Chí Minh,7,2.3, 20m,Tin VIP 1,Phòng trọ Quận Gò Vấp,29/10/2024 14:01,05/11/2024 14:01,Phòng trọ,Tất cả
25A Phố số 24,Phường Linh Đông,Thủ Đức,Hồ Chí Minh,90,2.5, 26m,Tin VIP 1,Phòng trọ Thủ Đức,09/08/2024 22:49,07/11/2024 22:49,Phòng trọ,Tất cả
519/48 Đường Âu Cơ,Phường Phú Trung,Quận Tân Phú,Hồ Chí Minh,7,5.5, 34m,Tin VIP 1,Cho thuê nhà Quận Tân Phú,26/10/2024 13:31,02/11/2024 13:31,Nhà thuê nguyên căn,Tất cả
215/24 Phố Nguyễn Xí,Phường 13,Quận Bình Thạnh,Hồ Chí Minh,4,5, 30m,Tin VIP 1,Phòng trọ Quận Bình Thạnh,30/10/2024 14:10,04/11/2024 13:48,Phòng trọ,Tất cả
26C Đường Thanh Đa,Phường 27,Quận Bình Thạnh,Hồ Chí Minh,,1.5, 50m,Tin VIP 1,Phòng trọ Quận Bình Thạnh,,06/11/2024 10:41,Phòng trọ,Tất cả
90 Đường số 4,Phường Tân Kiểng,Quận 7,Hồ Chí Minh,3,5, 28m,Tin VIP 1,Cho thuê căn hộ dịch vụ Quận 7,29/10/2024 15:40,01/11/2024 15:40,Cho thuê căn hộ dịch vụ,Tất cả
218 Mỹ Khánh,Xã Phước Hiệp,Huyện Củ Chi,Hồ Chí Minh,7,4, 297m,Tin VIP 1,Cho thuê nhà Huyện Củ Chi,26/10/2024 11:33,02/11/2024 11:33,Nhà thuê nguyên căn,Tất cả
Đường Phạm Cự Lượng,Phường 2,Quận Tân Bình,Hồ Chí Minh,54,1.6, 30m,Tin VIP 1,Phòng trọ Quận Tân Bình,02/10/2024 15:07,26/11/2024 15:06,Phòng trọ,Tất cả
13/12 Quách Văn Tuấn,Phường 12,Quận Tân Bình,Hồ Chí Minh,20,1.4, 12m,Tin VIP 1,Phòng trọ Quận Tân Bình,16/10/2024 16:02,06/11/2024 15:08,Phòng trọ,Tất cả
80 Đường số 3,Phường Tân Kiểng,Quận 7,Hồ Chí Minh,7,3.6, 25m,Tin VIP 1,Phòng trọ Quận 7,29/10/2024 15:07,05/11/2024 15:07,Phòng trọ,Tất cả
Nguyễn Đình Chính,Phường 11,Quận Phú Nhuận,Hồ Chí Minh,4,5.7, 35m,Tin miễn phí,Cho thuê căn hộ mini Quận Phú Nhuận,28/10/2024 22:19,02/11/2024 22:17,Cho thuê căn hộ mini,Tất cả
512/23A Đường Trường Chinh,Phường 13,Quận Tân Bình,Hồ Chí Minh,30,2.5, 20m,Tin thường,Phòng trọ Quận Tân Bình,28/10/2024 22:18,27/11/2024 22:18,Phòng trọ,Tất cả
Đường Lê Quý Đôn,Phường 14,Quận Phú Nhuận,Hồ Chí Minh,3,5.2, 35m,Tin miễn phí,Cho thuê căn hộ Quận Phú Nhuận,28/10/2024 22:18,01/11/2024 12:06,Cho thuê căn hộ,Tất cả
Đường Khuất Duy Tiến,Phường Thanh Xuân Bắc,Quận Thanh Xuân,Hà Nội,7,1.7, 20m,Tin thường,Phòng trọ Quận Thanh Xuân,28/10/2024 22:30,04/11/2024 22:30,Phòng trọ,Tất cả
5 Phố Phố Vọng,Phường Đồng Tâm,Quận Hai Bà Trưng,Hà Nội,7,1.65, 25m,Tin thường,Phòng trọ Quận Hai Bà Trưng,28/10/2024 22:29,04/11/2024 22:29,Phòng trọ,Tất cả
97 Đường Trần Phú,Phường Văn Quán,Quận Hà Đông,Hà Nội,7,1.8, 25m,Tin thường,Phòng trọ Quận Hà Đông,28/10/2024 22:33,04/11/2024 22:33,Phòng trọ,Tất cả
Đường Điện Biên Phủ,Phường 11,Quận 10,Hồ Chí Minh,5,12.5, 45m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 10,28/10/2024 22:29,02/11/2024 22:29,Cho thuê căn hộ dịch vụ,Tất cả
426 Đường Láng,Phường Láng Hạ,Quận Đống Đa,Hà Nội,7,1.5, 20m,Tin thường,Phòng trọ Quận Đống Đa,28/10/2024 22:32,04/11/2024 22:32,Phòng trọ,Tất cả
89 Đường Mễ Trì Thượng,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,7,1.7, 20m,Tin thường,Phòng trọ Quận Nam Từ Liêm,28/10/2024 22:33,04/11/2024 22:33,Phòng trọ,Tất cả
Phố Xã Đàn,Phường Nam Đồng,Quận Đống Đa,Hà Nội,7,1.65, 20m,Tin thường,Phòng trọ Quận Đống Đa,28/10/2024 22:35,04/11/2024 22:35,Phòng trọ,Tất cả
Thái Hà,Phường Trung Liệt,Quận Đống Đa,Hà Nội,7,1.75, 20m,Tin thường,Phòng trọ Quận Đống Đa,28/10/2024 22:35,04/11/2024 22:35,Phòng trọ,Tất cả
Đường Cầu Giấy,Phường Quan Hoa,Quận Cầu Giấy,Hà Nội,7,1.7, 20m,Tin thường,Phòng trọ Quận Cầu Giấy,28/10/2024 22:35,04/11/2024 22:35,Phòng trọ,Tất cả
213 Phố Trần Đại Nghĩa,Phường Bách Khoa,Quận Hai Bà Trưng,Hà Nội,7,1.5, 25m,Tin thường,Phòng trọ Quận Hai Bà Trưng,28/10/2024 22:36,04/11/2024 22:36,Phòng trọ,Tất cả
719/46 Huỳnh Tấn Phát,Phường Phú Thuận,Quận 7,Hồ Chí Minh,5,2.7, 25m,Tin miễn phí,Tìm người ở ghép Quận 7,28/10/2024 16:33,02/11/2024 16:33,Tìm người ở ghép,Nam
490/124/19C Đường Lý Thái Tổ,Phường 10,Quận 10,Hồ Chí Minh,5,12, 35m,Tin miễn phí,Cho thuê nhà Quận 10,28/10/2024 16:34,02/11/2024 16:34,Nhà thuê nguyên căn,Tất cả
183 Tôn Thất Thuyết,Phường 4,Quận 4,Hồ Chí Minh,5,4, 20m,Tin miễn phí,Phòng trọ Quận 4,28/10/2024 16:50,02/11/2024 16:50,Phòng trọ,Nữ
Đường số 27,Phường Tân Quy,Quận 7,Hồ Chí Minh,5,4.8, 20m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7,28/10/2024 16:50,02/11/2024 16:50,Cho thuê căn hộ dịch vụ,Tất cả
Đường số 79,Phường Tân Quy,Quận 7,Hồ Chí Minh,5,3, 15m,Tin miễn phí,Phòng trọ Quận 7,28/10/2024 16:50,02/11/2024 16:50,Phòng trọ,Tất cả
Đường Phan Xích Long,Phường 16,Quận 11,Hồ Chí Minh,10,1.4, 35m,Tin thường,Phòng trọ Quận 11,28/10/2024 16:51,07/11/2024 16:51,Phòng trọ,Tất cả
40/44 Đường Nguyễn Giản Thanh,Phường 15,Quận 10,Hồ Chí Minh,5,2.9, 18m,Tin miễn phí,Phòng trọ Quận 10,28/10/2024 17:33,02/11/2024 17:33,Phòng trọ,Tất cả
282 Đường Nguyễn Văn Lượng,Phường 17,Quận Gò Vấp,Hồ Chí Minh,5,1.7, 15m,Tin miễn phí,Phòng trọ Quận Gò Vấp,28/10/2024 17:52,02/11/2024 17:52,Phòng trọ,Tất cả
Đường Nguyễn Văn Công,Phường 3,Quận Gò Vấp,Hồ Chí Minh,5,7, 67m,Tin miễn phí,Cho thuê nhà Quận Gò Vấp,28/10/2024 18:04,02/11/2024 18:04,Nhà thuê nguyên căn,Tất cả
Phạm Văn Chiêu,Phường 14,Quận Gò Vấp,Hồ Chí Minh,5,9.5, 75m,Tin miễn phí,Cho thuê căn hộ Quận Gò Vấp,28/10/2024 18:16,02/11/2024 18:16,Cho thuê căn hộ,Tất cả
Phan Huy Ích,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,11, 93m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,28/10/2024 18:36,02/11/2024 18:36,Cho thuê căn hộ,Tất cả
Đường số 43,Phường Bình Thuận,Quận 7,Hồ Chí Minh,5,4, 26m,Tin thường,Phòng trọ Quận 7,28/10/2024 08:57,02/11/2024 08:57,Phòng trọ,Tất cả
21 Đường số 7,Phường Linh Trung,Thủ Đức,Hồ Chí Minh,7,3.3, 22m,Tin thường,Phòng trọ Thủ Đức,28/10/2024 09:04,04/11/2024 09:04,Phòng trọ,Tất cả
Đường Lý Phục Man,Phường Bình Thuận,Quận 7,Hồ Chí Minh,5,5.5, 40m,Tin thường,Cho thuê căn hộ dịch vụ Quận 7,28/10/2024 08:49,02/11/2024 08:49,Cho thuê căn hộ dịch vụ,Tất cả
Đường Dương Thị Mười,Phường Tân Chánh Hiệp,Quận 12,Hồ Chí Minh,10,4.5, 45m,Tin thường,Cho thuê nhà Quận 12,28/10/2024 09:01,07/11/2024 09:01,Nhà thuê nguyên căn,Tất cả
23 Đường số 7,Phường Linh Trung,Thủ Đức,Hồ Chí Minh,7,3.3, 25m,Tin thường,Phòng trọ Thủ Đức,28/10/2024 09:04,04/11/2024 09:04,Phòng trọ,Tất cả
Đường Vườn Lài,Phường Tân Thành,Quận Tân Phú,Hồ Chí Minh,10,1.6, 10m,Tin thường,Phòng trọ Quận Tân Phú,28/10/2024 09:00,07/11/2024 09:00,Phòng trọ,Tất cả
Lâm Văn Bền,Phường Tân Quy,Quận 7,Hồ Chí Minh,5,4.3, 30m,Tin thường,Phòng trọ Quận 7,28/10/2024 08:47,02/11/2024 08:47,Phòng trọ,Tất cả
Đường số 47,Phường Tân Quy,Quận 7,Hồ Chí Minh,5,6, 30m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7,28/10/2024 09:51,02/11/2024 09:51,Cho thuê căn hộ dịch vụ,Tất cả
Tân Thới Nhất 17,Phường Tân Thới Nhất,Quận 12,Hồ Chí Minh,,3, 20m,Tin thường,Phòng trọ Quận 12,28/10/2024 09:19,,Phòng trọ,Tất cả
778/ Nguyễn Kiệm,Phường 3,Quận Phú Nhuận,Hồ Chí Minh,5,2.7, 22m,Tin thường,Phòng trọ Quận Phú Nhuận,28/10/2024 09:47,02/11/2024 09:47,Phòng trọ,Tất cả
40 Đường Hoàng Bật Đạt,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,3.4, 22m,Tin thường,Phòng trọ Quận Tân Bình,28/10/2024 09:43,02/11/2024 09:43,Phòng trọ,Tất cả
114b Đường Bạch Đằng,Phường 2,Quận Tân Bình,Hồ Chí Minh,5,6.5, 45m,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình,28/10/2024 09:46,02/11/2024 09:46,Cho thuê căn hộ dịch vụ,Tất cả
18/ Phố Nguyễn Huy Tự,Phường Đa Kao,Quận 1,Hồ Chí Minh,5,2.7, 22m,Tin thường,Phòng trọ Quận 1,28/10/2024 09:29,02/11/2024 09:29,Phòng trọ,Tất cả
245E/ Hoàng Văn Thụ,Phường 9,Quận Phú Nhuận,Hồ Chí Minh,5,3.6, 30m,Tin thường,Phòng trọ Quận Phú Nhuận,28/10/2024 09:29,02/11/2024 09:29,Phòng trọ,Tất cả
44/13/37 Đường số 9,Phường Linh Xuân,Thủ Đức,Hồ Chí Minh,5,1.5, 15m,Tin miễn phí,Phòng trọ Thủ Đức,28/10/2024 09:51,02/11/2024 09:51,Phòng trọ,Tất cả
49 Đường Hoàng Quốc Việt,Phường Phú Mỹ,Quận 7,Hồ Chí Minh,7,6, 30m,Tin thường,Cho thuê căn hộ mini Quận 7,28/10/2024 10:06,04/11/2024 10:06,Cho thuê căn hộ mini,Tất cả
Đường Điện Biên Phủ,Phường 25,Quận Bình Thạnh,Hồ Chí Minh,4,8.5, 30m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Bình Thạnh,28/10/2024 10:08,02/11/2024 00:04,Cho thuê căn hộ dịch vụ,Tất cả
Trường Chinh,Phường Tây Thạnh,Quận Tân Phú,Hồ Chí Minh,5,6, 40m,Tin miễn phí,Phòng trọ Quận Tân Phú,28/10/2024 10:09,02/11/2024 10:09,Phòng trọ,Tất cả
856 Tạ Quang Bửu,Phường 5,Quận 8,Hồ Chí Minh,5,4, 20m,Tin thường,Phòng trọ Quận 8,28/10/2024 10:16,02/11/2024 10:16,Phòng trọ,Tất cả
108 Đường Võ Duy Ninh,Phường 22,Quận Bình Thạnh,Hồ Chí Minh,5,7, 20m,Tin miễn phí,Cho thuê căn hộ mini Quận Bình Thạnh,28/10/2024 10:26,02/11/2024 10:26,Cho thuê căn hộ mini,Tất cả
Đường Phan Văn Trị,Phường 5,Quận Gò Vấp,Hồ Chí Minh,5,3.2, 20m,Tin thường,Phòng trọ Quận Gò Vấp,28/10/2024 10:41,02/11/2024 10:41,Phòng trọ,Tất cả
Đường Bành Văn Trân,Phường 7,Quận Tân Bình,Hồ Chí Minh,5,8, 40m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình,28/10/2024 10:51,02/11/2024 10:51,Cho thuê căn hộ dịch vụ,Tất cả
333 Đường Lê Văn Sỹ,Phường 1,Quận Tân Bình,Hồ Chí Minh,5,3.5, 25m,Tin thường,Phòng trọ Quận Tân Bình,28/10/2024 11:06,02/11/2024 11:06,Phòng trọ,Tất cả
Đường Võ Liêm Sơn,Phường 4,Quận 8,Hồ Chí Minh,5,5, 28m,Tin miễn phí,Phòng trọ Quận 8,28/10/2024 15:31,02/11/2024 15:31,Phòng trọ,Tất cả
15A đường Đường số 29,Phường Bình Trưng Tây,Quận 2,Hồ Chí Minh,5,3, 30m,Tin thường,Phòng trọ Quận 2,28/10/2024 15:30,02/11/2024 15:30,Phòng trọ,Tất cả
Đường Lê Văn Lương,Phường Tân Kiểng,Quận 7,Hồ Chí Minh,5,6, 30m,Tin thường,Phòng trọ Quận 7,28/10/2024 14:49,02/11/2024 14:49,Phòng trọ,Tất cả
Đường Nguyễn Sỹ Sách,Phường 15,Quận Tân Bình,Hồ Chí Minh,5,9.5, 70m,Tin miễn phí,Cho thuê căn hộ Quận Tân Bình,28/10/2024 15:05,02/11/2024 15:05,Cho thuê căn hộ,Tất cả
75/12 P1,Q5 Đường Nguyễn Văn Cừ,Phường 1,"Quận 5, Hồ Chí Minh",5,3.7, 18m,Tin thường,Phòng trọ Quận 5,28/10/2024 15:08,02/11/2024 15:08,Phòng trọ,Tất cả
Đường Âu Dương Lân,Phường 2,Quận 8,Hồ Chí Minh,5,2, 12m,Tin miễn phí,Phòng trọ Quận 8,28/10/2024 16:02,02/11/2024 16:02,Phòng trọ,Nam
206 Đường Thịnh Quang,Phường Thịnh Quang,Quận Đống Đa,Hà Nội,5,4.6, 19m,Tin miễn phí,Phòng trọ Quận Đống Đa,28/10/2024 16:02,02/11/2024 16:02,Phòng trọ,Tất cả
551/6 Đường Phạm Văn Chí,Phường 7,Quận 6,Hồ Chí Minh,5,1.1, 9m,Tin thường,Phòng trọ Quận 6,28/10/2024 15:44,02/11/2024 15:44,Phòng trọ,Tất cả
Đường số 28,Phường 6,Quận Gò Vấp,Hồ Chí Minh,5,4.4, 20m,Tin miễn phí,Phòng trọ Quận Gò Vấp,28/10/2024 15:50,02/11/2024 15:50,Phòng trọ,Tất cả
H79/08 k266 Đường Hoàng Diệu,Phường Bình Hiên,Quận Hải Châu,Đà Nẵng,5,2, 15m,Tin miễn phí,Phòng trọ Quận Hải Châu,28/10/2024 15:25,02/11/2024 15:25,Phòng trọ,Nam
Hồ Biểu Chánh,Phường 11,Quận Phú Nhuận,Hồ Chí Minh,5,5.5, 60m,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Phú Nhuận,28/10/2024 15:57,02/11/2024 15:57,Cho thuê căn hộ dịch vụ,Tất cả
Đường Nguyễn Văn Cừ,Phường 1,Quận 5,Hồ Chí Minh,5,3.3, 14m,Tin thường,Phòng trọ Quận 5,28/10/2024 15:07,02/11/2024 15:07,Phòng trọ,Tất cả
Đường Nguyễn Thái Bình,Phường 4,Quận Tân Bình,Hồ Chí Minh,,5.5, 45m,Tin thường,Phòng trọ Quận Tân Bình,29/10/2024 00:39,,Phòng trọ,Tất cả
Đường số 8,Phường Hiệp Bình Chánh,Quận Thủ Đức,Hồ Chí Minh,,2.7, 20m,Tin thường,Phòng trọ Thủ Đức,29/10/2024 00:50,,Phòng trọ,Tất cả
Đường Hoàng Văn Thụ,Phường 2,Quận Tân Bình,Hồ Chí Minh,,5.6, 45m,Tin thường,Phòng trọ Quận Tân Bình,29/10/2024 00:43,,Phòng trọ,Tất cả
